wavenumber,t1-1
4.960981E+02,1.252739e-001
4.965803E+02,1.256739e-001
4.970624E+02,1.259486e-001
4.975445E+02,1.260827e-001
4.980266E+02,1.261304e-001
4.985087E+02,1.261810e-001
4.989908E+02,1.263049e-001
4.994730E+02,1.265109e-001
4.999551E+02,1.267411e-001
5.004372E+02,1.268967e-001
5.009193E+02,1.268958e-001
5.014014E+02,1.267149e-001
5.018835E+02,1.264103e-001
5.023657E+02,1.260889e-001
5.028478E+02,1.258665e-001
5.033299E+02,1.258105e-001
5.038120E+02,1.259270e-001
5.042941E+02,1.261737e-001
5.047762E+02,1.264932e-001
5.052584E+02,1.268348e-001
5.057405E+02,1.271665e-001
5.062226E+02,1.274719e-001
5.067047E+02,1.277351e-001
5.071868E+02,1.279383e-001
5.076689E+02,1.280684e-001
5.081511E+02,1.281326e-001
5.086332E+02,1.281664e-001
5.091153E+02,1.282247e-001
5.095974E+02,1.283643e-001
5.100795E+02,1.286114e-001
5.105616E+02,1.289477e-001
5.110438E+02,1.293143e-001
5.115259E+02,1.296459e-001
5.120080E+02,1.299024e-001
5.124901E+02,1.300956e-001
5.129722E+02,1.302789e-001
5.134543E+02,1.305213e-001
5.139365E+02,1.308592e-001
5.144186E+02,1.312732e-001
5.149007E+02,1.316859e-001
5.153828E+02,1.320013e-001
5.158649E+02,1.321536e-001
5.163470E+02,1.321416e-001
5.168292E+02,1.320316e-001
5.173113E+02,1.319259e-001
5.177934E+02,1.319068e-001
5.182755E+02,1.319926e-001
5.187576E+02,1.321315e-001
5.192397E+02,1.322322e-001
5.197219E+02,1.322191e-001
5.202040E+02,1.320677e-001
5.206861E+02,1.318188e-001
5.211682E+02,1.315497e-001
5.216503E+02,1.313386e-001
5.221324E+02,1.312231e-001
5.226146E+02,1.311896e-001
5.230967E+02,1.311898e-001
5.235788E+02,1.311711e-001
5.240609E+02,1.311048e-001
5.245430E+02,1.309897e-001
5.250251E+02,1.308416e-001
5.255073E+02,1.306672e-001
5.259894E+02,1.304487e-001
5.264715E+02,1.301532e-001
5.269536E+02,1.297561e-001
5.274357E+02,1.292720e-001
5.279178E+02,1.287602e-001
5.284000E+02,1.283136e-001
5.288821E+02,1.280161e-001
5.293642E+02,1.279067e-001
5.298463E+02,1.279591e-001
5.303284E+02,1.280924e-001
5.308105E+02,1.282019e-001
5.312927E+02,1.282068e-001
5.317748E+02,1.280847e-001
5.322569E+02,1.278694e-001
5.327390E+02,1.276261e-001
5.332211E+02,1.274080e-001
5.337032E+02,1.272371e-001
5.341854E+02,1.270988e-001
5.346675E+02,1.269618e-001
5.351496E+02,1.268050e-001
5.356317E+02,1.266341e-001
5.361138E+02,1.264732e-001
5.365959E+02,1.263440e-001
5.370781E+02,1.262412e-001
5.375602E+02,1.261245e-001
5.380423E+02,1.259360e-001
5.385244E+02,1.256374e-001
5.390065E+02,1.252363e-001
5.394886E+02,1.247966e-001
5.399708E+02,1.244103e-001
5.404529E+02,1.241665e-001
5.409350E+02,1.241028e-001
5.414171E+02,1.241908e-001
5.418992E+02,1.243467e-001
5.423813E+02,1.244754e-001
5.428635E+02,1.245126e-001
5.433456E+02,1.244484e-001
5.438277E+02,1.243237e-001
5.443098E+02,1.242020e-001
5.447919E+02,1.241322e-001
5.452740E+02,1.241219e-001
5.457562E+02,1.241427e-001
5.462383E+02,1.241486e-001
5.467204E+02,1.241109e-001
5.472025E+02,1.240309e-001
5.476846E+02,1.239409e-001
5.481667E+02,1.238822e-001
5.486489E+02,1.238875e-001
5.491310E+02,1.239642e-001
5.496131E+02,1.241009e-001
5.500952E+02,1.242800e-001
5.505773E+02,1.244933e-001
5.510594E+02,1.247410e-001
5.515416E+02,1.250235e-001
5.520237E+02,1.253247e-001
5.525058E+02,1.256046e-001
